iter	Passed	Remaining
0	1	176
1	2	137
2	3	119
3	4	106
4	5	102
5	6	98
6	7	96
7	8	94
8	9	92
9	9	89
10	10	86
11	11	84
12	12	86
13	13	83
14	14	81
15	15	78
16	15	77
17	16	75
18	17	73
19	17	71
20	18	70
21	19	68
22	20	67
23	20	65
24	21	64
25	22	63
26	22	61
27	23	60
28	24	59
29	24	57
30	25	56
31	26	56
32	27	55
33	27	53
34	28	52
35	29	51
36	29	50
37	30	49
38	31	48
39	31	47
40	32	46
41	32	44
42	33	43
43	33	43
44	34	42
45	35	41
46	35	40
47	36	39
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	41	33
55	41	32
56	42	32
57	43	31
58	44	30
59	45	30
60	46	29
61	47	28
62	48	28
63	49	27
64	49	26
65	50	26
66	51	25
67	52	24
68	53	23
69	54	23
70	55	22
71	55	21
72	56	20
73	57	20
74	58	19
75	59	18
76	60	17
77	60	17
78	61	16
79	62	15
80	63	14
81	64	14
82	65	13
83	65	12
84	66	11
85	66	10
86	67	10
87	68	9
88	68	8
89	69	7
90	70	6
91	70	6
92	71	5
93	72	4
94	72	3
95	73	3
96	73	2
97	74	1
98	75	0
99	75	0
